ccg_code,year,month,registered_patients,diabetes_patients,total_spend,per_capita_spend
00C,2013,Jan,84625.0,5293.0,76142.20000000001,14.385452484413378
00D,2013,Jan,232628.0,15116.0,277200.53,18.338219767134163
00F,2013,Jan,168292.0,9968.0,152973.91999999998,15.346500802568217
00G,2013,Jan,125410.0,5168.0,95228.06999999998,18.42648413312693
00H,2013,Jan,103460.0,6240.0,107527.23000000001,17.231927884615388
00J,2013,Jan,198135.0,11861.0,217781.64999999997,18.361154202849672
00K,2013,Jan,228082.0,12036.0,233928.96000000002,19.435772681954138
00L,2013,Jan,264148.0,16865.0,247368.15000000005,14.66754521197747
00M,2013,Jan,230654.0,13128.0,237359.56999999998,18.080406002437538
00N,2013,Jan,125301.0,8055.0,150908.46999999997,18.734757293606453
00P,2013,Jan,231625.0,13478.0,266316.54000000004,19.75935153583618
00Q,2013,Jan,124909.0,8330.0,167616.48999999996,20.122027611044413
00R,2013,Jan,139228.0,9034.0,166126.98999999996,18.389084569404467
00T,2013,Jan,229563.0,15613.0,281439.6199999999,18.025979632357643
00V,2013,Jan,154052.0,8335.0,149647.98999999996,17.954167966406715
00W,2013,Jan,158649.0,8256.0,204376.51000000004,24.754906734496128
00X,2013,Jan,139469.0,8394.0,136814.96000000002,16.299137479151778
00Y,2013,Jan,177319.0,10749.0,259567.56000000003,24.148065866592244
01A,2013,Jan,288876.0,17288.0,339846.35,19.657933248496064
01C,2013,Jan,164531.0,8938.0,153399.28999999998,17.162596777802637
01D,2013,Jan,174292.0,10737.0,211017.25000000003,19.653278383161034
01E,2013,Jan,167553.0,9236.0,169796.19,18.384169553919445
01F,2013,Jan,101262.0,6894.0,120507.56,17.48006382361474
01G,2013,Jan,189822.0,10151.0,172334.09000000014,16.977055462516024
01H,2013,Jan,411612.0,21957.0,397775.06,18.11609327321583
01J,2013,Jan,126163.0,8044.0,153325.48999999996,19.06085156638488
01K,2013,Jan,131046.0,7155.0,130273.73999999999,18.20737106918239
01M,2013,Jan,138202.0,8034.0,185200.88000000006,23.05213841175007
01N,2013,Jan,131660.0,6960.0,163699.97000000003,23.52011063218391
01R,2013,Jan,139532.0,8137.0,164976.11,20.274807668673958
01T,2013,Jan,126822.0,7054.0,142861.08,20.252492203005385
01V,2013,Jan,101234.0,5915.0,100260.39,16.950192730346576
01W,2013,Jan,237826.0,12937.0,249079.2800000001,19.253248821210487
01X,2013,Jan,155786.0,10213.0,170007.94000000003,16.64622931557819
01Y,2013,Jan,187054.0,11485.0,266593.54999999993,23.212324771441004
02A,2013,Jan,181553.0,10048.0,195002.48,19.407093949044587
02D,2013,Jan,79614.0,4671.0,99075.40999999999,21.21074930421751
02E,2013,Jan,153629.0,9234.0,156632.47999999998,16.9625817630496
02F,2013,Jan,206635.0,11097.0,183211.38000000003,16.509991889699922
02G,2013,Jan,90171.0,5223.0,88722.91999999998,16.986965345586825
02H,2013,Jan,257240.0,16023.0,289697.98999999993,18.08013418211321
02M,2013,Jan,126659.0,7684.0,145992.00000000003,18.99947943779282
02N,2013,Jan,124811.0,7088.0,131622.23,18.56972770880361
02P,2013,Jan,178639.0,11357.0,245972.99,21.658271550585543
02Q,2013,Jan,90256.0,5504.0,106005.82000000002,19.25977834302326
02R,2013,Jan,251063.0,16471.0,307294.12,18.65667658308542
02T,2013,Jan,166522.0,9125.0,187849.60999999993,20.586258630136978
02V,2013,Jan,161520.0,8139.0,160665.04,19.740144980955893
02W,2013,Jan,71481.0,6542.0,147970.49000000002,22.61854020177316
02X,2013,Jan,247262.0,16386.0,364066.9,22.218167948248507
02Y,2013,Jan,247261.0,14872.0,264504.63999999996,17.785411511565353
03A,2013,Jan,185941.0,9791.0,180658.96000000002,18.451533040547442
03C,2013,Jan,291181.0,12123.0,242709.40999999992,20.020573290439653
03D,2013,Jan,115576.0,5882.0,116951.75000000001,19.88299047942877
03E,2013,Jan,130748.0,5802.0,106457.15999999997,18.3483557394002
03F,2013,Jan,226105.0,12574.0,235439.47000000003,18.724309686655005
03G,2013,Jan,198646.0,11317.0,230867.34000000003,20.40004771582575
03H,2013,Jan,131600.0,8080.0,165293.09000000003,20.457065594059408
03J,2013,Jan,141150.0,8899.0,189654.63,21.311903584672436
03K,2013,Jan,133511.0,8430.0,183915.66,21.816804270462633
03L,2013,Jan,202117.0,12042.0,260736.08000000005,21.652223883075905
