id,name,population,scrips_per_head,spend_per_head,drift
00C,NHS Darlington CCG,84625.0,0.001807976366322009,0.0742391728212703,9.828937557485736
00D,"NHS Durham Dales, Easington and Sedgefield CCG",232628.0,0.0025233419880667848,0.0947726412985538,54.22248278031023
00F,NHS Gateshead CCG,168292.0,0.002133197062248948,0.07994675920424021,22.168791123183645
00G,NHS Newcastle North and East CCG,125410.0,0.0027190814129654734,0.11209018419583754,91.66316770937081
00H,NHS Newcastle West CCG,103460.0,0.0028320123719311812,0.11348269862748889,94.67379654995568
00J,NHS North Durham CCG,198135.0,0.0026042849572261335,0.09739869281045753,59.90002998477494
00K,NHS Hartlepool and Stockton-On-Tees CCG,227202.0,0.0020378341739949474,0.09553753928222454,55.87619916371137
00L,NHS Northumberland CCG,264148.0,0.0033238941805351545,0.1407823644320606,153.69592180872655
00M,NHS South Tees CCG,230654.0,0.0018295802370650411,0.07419476792078178,9.732933759582192
00N,NHS South Tyneside CCG,125301.0,0.0030486588295384714,0.12597050302870685,121.6725430127159
00P,NHS Sunderland CCG,231625.0,0.0018521316783594172,0.06450443604964923,-11.217651701477365
00Q,NHS Blackburn with Darwen CCG,124909.0,0.0018973812935817276,0.07722846232056933,16.291808587680176
00R,NHS Blackpool CCG,139228.0,0.0029591748786163704,0.14208758295745103,156.51781610762163
00T,NHS Bolton CCG,229563.0,0.0015638408628568193,0.07758144822989764,17.054967327574623
00V,NHS Bury CCG,154052.0,0.001609846026017189,0.06166404850310283,-17.358595358290913
00W,NHS Central Manchester CCG,159701.0,0.0019286040788723928,0.07559457987113417,12.75933990183568
00X,NHS Chorley and South Ribble CCG,139469.0,5.736041701023167E-4,0.026010582996938387,-94.44171139635253
00Y,NHS Oldham CCG,176981.0,0.0015368881405348597,0.0625421937948141,-15.460037267000914
01A,NHS East Lancashire CCG,288876.0,0.0027243523172572315,0.1071281795649343,80.93526865901954
01C,NHS Eastern Cheshire CCG,164531.0,0.0019023770596422558,0.07064753754611594,2.06378949261528
01D,"NHS Heywood, Middleton and Rochdale CCG",174292.0,0.0012565120602207789,0.05315051752231883,-35.76492661301679
01E,NHS Greater Preston CCG,167553.0,8.594295536337755E-4,0.04110753015463763,-61.80197461182566
01F,NHS Halton CCG,101262.0,4.4439177578953605E-4,0.019470976279354547,-108.58040047743624
01G,NHS Salford CCG,188062.0,0.001983388456998224,0.07602992630090073,13.70056283447457
01H,NHS Cumbria CCG,411612.0,0.0013143445769316735,0.04634757975957945,-50.47293980388836
01J,NHS Knowsley CCG,126171.0,1.4266352806904914E-4,0.010520642619936436,-127.93110308807051
01K,NHS Lancashire North CCG,131046.0,0.002090868855211147,0.08072417319109317,23.84956721906799
01M,NHS North Manchester CCG,138202.0,0.0019608978162399967,0.08023205163456394,22.785595947040733
01N,NHS South Manchester CCG,131660.0,0.0025672185933464987,0.11184140969162995,91.12531497323695
01R,NHS South Cheshire CCG,139532.0,0.0026660550984720353,0.0996324140698907,64.72935562235715
01T,NHS South Sefton CCG,126822.0,3.469429594234439E-4,0.01351610919241141,-121.45487716960261
01V,NHS Southport and Formby CCG,101234.0,8.297607523164155E-4,0.02145998379990912,-104.28014816448854
01W,NHS Stockport CCG,237826.0,0.0020435108020149186,0.09058412452801622,45.166871504741735
01X,NHS St Helens CCG,155786.0,3.594674746126096E-4,0.018609566970074334,-110.44277522280379
01Y,NHS Tameside and Glossop CCG,187054.0,0.0014167031980069926,0.058397521571310985,-24.420856233919654
02A,NHS Trafford CCG,181553.0,0.0017901108767136868,0.08139248594074457,25.294465449849735
02D,NHS Vale Royal CCG,79614.0,0.003755620870701133,0.13593551385434716,143.2169868665837
02E,NHS Warrington CCG,154616.0,3.0397888963626016E-4,0.014776607854297099,-118.72966762151096
02F,NHS West Cheshire CCG,206392.0,0.0018992984224194735,0.0713587735958758,3.6014882878309167
02G,NHS West Lancashire CCG,90171.0,3.5488128112142484E-4,0.02159552405984186,-103.98710889226356
02H,NHS Wigan Borough CCG,256569.0,0.0024905580954830866,0.09228616863299915,48.846706308559455
02M,NHS Fylde & Wyre CCG,126659.0,0.0020448606099842887,0.08503398889932816,33.1674278989253
02N,"NHS Airedale, Wharfdale and Craven CCG",124811.0,4.326541731097419E-4,0.017411686469942556,-113.03260373682087
02P,NHS Barnsley CCG,180064.0,0.0016993957703927492,0.07379037453349915,8.858631585743247
02Q,NHS Bassetlaw CCG,90256.0,0.0016730189682680377,0.07667844797021806,15.10267256993749
02R,NHS Bradford Districts CCG,251063.0,7.289007141633773E-4,0.02472817579651322,-97.21428740362249
02T,NHS Calderdale CCG,166522.0,9.368131538175136E-4,0.04283349947754651,-58.070413269691414
02V,NHS Leeds North CCG,161520.0,5.07677067855374E-4,0.022995294700346704,-100.96079206227544
02W,NHS Bradford City CCG,71481.0,2.3782543612988066E-4,0.010922203102922455,-127.06292567903408
02X,NHS Doncaster CCG,247262.0,0.001245642274186895,0.04610575017592675,-50.99577755874598
02Y,NHS East Riding of Yorkshire CCG,247261.0,5.702476330678918E-4,0.021328070338630014,-104.56534626510519
03A,NHS Greater Huddersfield CCG,185941.0,0.0012261954060696673,0.05699157259560826,-27.460530680684137
03C,NHS Leeds West CCG,291181.0,6.696865523505998E-4,0.036931805303230626,-70.82992964212619
03D,"NHS Hambleton, Richmondshire and Whitby CCG",115576.0,5.450958676541843E-4,0.023151692392884334,-100.62265883144323
03E,NHS Harrogate and Rural District CCG,130748.0,0.0012160797870713128,0.04784769174289471,-47.22968407998168
03F,NHS Hull CCG,226105.0,6.412949735742243E-4,0.02089153269498684,-105.50914461295756
03G,NHS Leeds South and East CCG,198646.0,8.557937235081502E-4,0.03778022210364163,-68.99564481886223
03H,NHS North East Lincolnshire CCG,131600.0,0.0026063829787234044,0.0971586626139818,59.38108252132631
03J,NHS North Kirklees CCG,141150.0,7.438894792773645E-4,0.033768969181721564,-77.66801004475921
03K,NHS North Lincolnshire CCG,133511.0,0.0015354540075349598,0.06375602010321248,-12.835733770777058
03L,NHS Rotherham CCG,202117.0,4.7992004630981064E-4,0.01935819352157414,-108.82423782344617
03M,NHS Scarborough and Ryedale CCG,97630.0,0.002724572365051726,0.129661886715149,129.65334804817118
03N,NHS Sheffield CCG,448552.0,0.00302751966327204,0.1338187545702614,138.64053408132457
03Q,NHS Vale of York CCG,277850.0,6.190390498470397E-4,0.02862746086017635,-88.78399770356913
03R,NHS Wakefield CCG,283387.0,0.0017220267690472746,0.06940777099866961,-0.6165970358805041
03T,NHS Lincolnshire East CCG,199805.0,0.001946898225770126,0.08155466579915416,25.645099775779745
03V,NHS Corby CCG,40408.0,0.006063155810730548,0.22218570580083152,329.69068471697733
03W,NHS East Leicestershire and Rutland CCG,254405.0,0.0015447809594937207,0.06326098150586663,-13.906011711526778
03X,NHS Erewash CCG,79014.0,0.001911053737312375,0.08020376135874653,22.72443211394279
03Y,NHS Hardwick CCG,83276.0,0.0021975118881790673,0.07080527402853161,2.4048171993154996
04C,NHS Leicester City CCG,283732.0,0.0014027321556962203,0.063746845614876,-12.855569097834078
04D,NHS Lincolnshire West CCG,180787.0,0.0027767483281430634,0.10335029620492625,72.76745054418825
04E,NHS Mansfield and Ashfield CCG,147551.0,4.8796687247121333E-4,0.026417035465703384,-93.56295746965915
04F,NHS Milton Keynes CCG,201834.0,0.0011544140234053728,0.04563765272451616,-52.00780849744856
04G,NHS Nene CCG,492344.0,0.003123832117381343,0.12068602440570003,110.24745226445577
04H,NHS Newark & Sherwood CCG,103252.0,5.036222058652617E-4,0.023382016813233646,-100.12469534407577
04J,NHS North Derbyshire CCG,236688.0,0.0018801122152369363,0.06411816399648482,-12.05277538647187
04K,NHS Nottingham City CCG,271805.0,0.0014090984345394677,0.061395375361012514,-17.939469130140036
04L,NHS Nottingham North and East CCG,115117.0,0.002136956314010963,0.093769643058801,52.053991482108984
04M,NHS Nottingham West CCG,76516.0,0.0013330545245438862,0.04818155679857807,-46.50786479922074
04N,NHS Rushcliffe CCG,98578.0,0.0011665888940737283,0.05202316946986142,-38.20226333496412
04Q,NHS South West Lincolnshire CCG,104115.0,0.002718148201507948,0.11377909042885266,95.31459831474636
04R,NHS Southern Derbyshire CCG,413961.0,0.0016764864322967622,0.07459818678571162,10.60512900724902
04V,NHS West Leicestershire CCG,292840.0,0.002083048763830078,0.08614779401721075,35.575484673397504
04X,NHS Birmingham South and Central CCG,185324.0,4.154885497830826E-4,0.021452267380371676,-104.29683113356766
04Y,NHS Cannock Chase CCG,102246.0,0.0018778240713573147,0.05876102732625236,-23.63495349232489
05A,NHS Coventry and Rugby CCG,360985.0,7.341025250356664E-4,0.03209357729545548,-81.29022250979847
05C,NHS Dudley CCG,250159.0,0.002794222874251976,0.11464636491191596,97.18965361906902
05D,NHS East Staffordshire CCG,106340.0,8.463419221365431E-4,0.035393078803836756,-74.15667030028494
05F,NHS Herefordshire CCG,149031.0,0.0014560728975850663,0.06890405351906652,-1.7056387988455066
05G,NHS North Staffordshire CCG,166227.0,3.4892045215277904E-4,0.016106228230070928,-115.85501630060011
05H,NHS Warwickshire North CCG,147421.0,5.2909694005603E-4,0.022223292475291853,-102.62986788003165
05J,NHS Redditch and Bromsgrove CCG,135026.0,0.0014886021951327892,0.08174973708767197,26.06684567214746
05L,NHS Sandwell and West Birmingham CCG,405504.0,0.0014475812815656565,0.05528818458017675,-31.143271031089863
05N,NHS Shropshire CCG,243102.0,0.001575470378688781,0.07155831708500962,4.0329031225230185
05P,NHS Solihull CCG,186319.0,0.001347151927608027,0.055071356115049944,-31.612056140768324
05Q,NHS South East Staffs and Seisdon Peninsular CCG,168479.0,0.0012405106867918257,0.05733034977652999,-26.728091340572252
05R,NHS South Warwickshire CCG,221203.0,0.0014240313196475635,0.045395225200381556,-52.531939005055364
05T,NHS South Worcestershire CCG,234038.0,0.002439774737435801,0.1130255770430442,93.68549553525739
05V,NHS Stafford and Surrounds CCG,117347.0,6.476518360077377E-4,0.028750372825892438,-88.51826091806309
05W,NHS Stoke on Trent CCG,215439.0,3.6669312427183563E-4,0.01725147257460349,-113.37898763274805
05X,NHS Telford and Wrekin CCG,134097.0,0.001991095997673326,0.09904755512800435,63.46488528144374
05Y,NHS Walsall CCG,204009.0,0.0021665710826483144,0.09258993475778031,49.50345142751261
06A,NHS Wolverhampton CCG,204901.0,0.0017667068486732617,0.08448001717902795,31.969736011433397
06D,NHS Wyre Forest CCG,90218.0,0.0016737236471657542,0.09416180806490948,52.901855784856785
06F,NHS Bedfordshire CCG,338882.0,0.002331194929208397,0.09386724582598067,52.265009550656785
06H,NHS Cambridgeshire and Peterborough CCG,675672.0,0.002132691601842314,0.08602323316638838,35.30618298332533
06K,NHS East and North Hertfordshire CCG,444661.0,0.0015539928169999169,0.06625665394536509,-7.429340706685535
06L,NHS Ipswich and East Suffolk CCG,310118.0,0.001267259559264538,0.05404497642832727,-33.83109833954347
06M,NHS Great Yarmouth and Waveney CCG,189366.0,0.0033532946780309033,0.1376689057169712,146.9645958069539
06N,NHS Herts Valleys CCG,466108.0,0.0011778386125104053,0.05933614098020202,-22.39155255238511
06P,NHS Luton CCG,156631.0,0.0016663368043363064,0.06431638692212908,-11.624215622030478
06Q,NHS Mid Essex CCG,301985.0,0.0022484560491415136,0.0975068298094276,60.13382315806902
06T,NHS North East Essex CCG,263332.0,0.001678489511339298,0.07053559764859568,1.8217744181381335
06V,NHS North Norfolk CCG,139856.0,0.003410650955268276,0.1420092809747168,156.34852651023118
06W,NHS Norwich CCG,167174.0,0.003971909507459294,0.1716823190209003,220.50190409761635
06Y,NHS South Norfolk CCG,176910.0,0.002741506980950766,0.11484856706800053,97.6268165158404
07G,NHS Thurrock CCG,124246.0,0.0030343029151843923,0.10819116913220547,83.23346175183532
07H,NHS West Essex CCG,229117.0,0.001064958078187127,0.04401161851804972,-55.523309210758995
07J,NHS West Norfolk CCG,134276.0,0.004483303047454497,0.15001958652328026,173.66687981289928
07K,NHS West Suffolk CCG,190836.0,0.0016663522605797649,0.068581085329812,-2.4038989554803383
07L,NHS Barking and Dagenham CCG,142339.0,0.0013769943585384189,0.05542479573412763,-30.847916476277554
07M,NHS Barnet CCG,288647.0,0.0011259427605344937,0.05517867845499865,-31.380024267672784
07N,NHS Bexley CCG,177099.0,0.002162632200068888,0.08886938943754624,41.45959867510951
07P,NHS Brent CCG,283283.0,3.98894391827254E-4,0.02233939205670653,-102.37885953121881
07Q,NHS Bromley CCG,255750.0,0.0011925708699902248,0.05936954056695993,-22.319342342658427
07R,NHS Camden CCG,203003.0,9.063905459525229E-4,0.0441279192918331,-55.27186588221886
07T,NHS City and Hackney CCG,219452.0,7.792136777062866E-4,0.04205940251171099,-59.74401793602867
07V,NHS Croydon CCG,301680.0,0.001117077698223283,0.04150328162291169,-60.94635634532284
07W,NHS Ealing CCG,299269.0,3.27464588714501E-4,0.015765348231858288,-116.59200195078145
07X,NHS Enfield CCG,211687.0,7.41661037286182E-4,0.037662539504079114,-69.2500756672792
07Y,NHS Hounslow CCG,205967.0,8.690712589880903E-4,0.03657105264435564,-71.60988016503657
08A,NHS Greenwich CCG,212653.0,9.593092973059397E-4,0.0594941054205678,-22.050031998527654
08C,NHS Hammersmith and Fulham CCG,157333.0,8.008491543414287E-4,0.04784972002059326,-47.22529892518746
08D,NHS Haringey CCG,220815.0,3.9399497316758373E-4,0.030232774041618553,-85.31329603443844
08E,NHS Harrow CCG,187967.0,0.001574744503024467,0.07040576271366787,1.5410701103590128
08F,NHS Havering CCG,204491.0,0.002053880121863554,0.0913159014333149,46.74897981607432
08G,NHS Hillingdon CCG,214206.0,9.75696292354089E-4,0.04444758783600832,-54.58073958819518
08H,NHS Islington CCG,175636.0,7.116991960645882E-4,0.03921109567514631,-65.9020831697423
08J,NHS Kingston CCG,148925.0,0.0014571092831962397,0.06802471042471041,-3.6067865503256744
08K,NHS Lambeth CCG,307823.0,6.919560916500716E-4,0.031855611828875675,-81.8047060084713
08L,NHS Lewisham CCG,234814.0,0.0011881744700060473,0.06909634859931689,-1.2898950899506483
08M,NHS Newham CCG,271513.0,8.949847705266414E-4,0.03586944271545009,-73.12676719959235
08N,NHS Redbridge CCG,213037.0,6.80632941695574E-4,0.03463482869172959,-75.79601392502528
08P,NHS Richmond CCG,157999.0,0.0013417806441812924,0.05116488079038472,-40.05789125037163
08Q,NHS Southwark CCG,260188.0,7.379279597829262E-4,0.03658420065491107,-71.58145404687595
08R,NHS Merton CCG,168414.0,8.609735532675431E-4,0.04038821000629399,-63.35715130155592
08T,NHS Sutton CCG,142037.0,0.0017460239233439174,0.06912600237966164,-1.225783347688554
08V,NHS Tower Hamlets CCG,209768.0,5.291560199839823E-4,0.022473399183860265,-102.08913490597776
08W,NHS Waltham Forest CCG,221026.0,5.203007790938622E-4,0.03148335489942358,-82.60952886878951
08X,NHS Wandsworth CCG,300906.0,0.001229619881291832,0.07004496420809152,0.7610204664641508
08Y,NHS West London (K&C & QPP) CCG,200588.0,6.331385725965661E-4,0.034605958482062715,-75.85843158036961
09A,NHS Central London (Westminster) CCG,166138.0,9.209211619256281E-4,0.04741516089034417,-48.16481970912355
09C,NHS Ashford CCG,95496.0,6.07355281896624E-4,0.04315133618162018,-57.38324743059424
09D,NHS Brighton and Hove CCG,246425.0,0.0012052348584762097,0.05084021507558079,-40.7598214726521
09E,NHS Canterbury and Coastal CCG,170878.0,6.261777408443451E-4,0.037440454593335594,-69.73022526009186
09F,"NHS Eastbourne, Hailsham and Seaford CCG",152396.0,0.001332055959474002,0.054810493713745766,-32.17604302014252
09G,NHS Coastal West Sussex CCG,395188.0,0.001844691640434426,0.08322846341488098,29.26386541344248
09H,NHS Crawley CCG,97051.0,0.002637788379305726,0.11106315236319046,89.44271556518781
09J,"NHS Dartford, Gravesham and Swanley CCG",188386.0,0.004129818564012188,0.16231928062594866,200.25893010278554
09L,NHS East Surrey CCG,129916.0,8.774900705070969E-4,0.0487634317559038,-45.24984586001198
09N,NHS Guildford and Waverley CCG,171928.0,0.00209389977199758,0.09292389837606436,50.22548380151086
09P,NHS Hastings and Rother CCG,147619.0,0.0014835488656609244,0.05931987074834536,-22.42672894133827
09W,NHS Medway CCG,208862.0,0.005759783972192165,0.24823989045398367,386.02006842159295
09X,NHS Horsham and Mid Sussex CCG,178339.0,0.0019008741778298633,0.08561929807837881,34.43287165667456
09Y,NHS North West Surrey CCG,280371.0,0.0031458317729009064,0.15455507167289048,183.4726398733305
10A,NHS South Kent Coast CCG,158284.0,7.89719744257158E-4,0.04970287584342067,-43.21875921580307
10C,NHS Surrey Heath CCG,72551.0,0.0024672299485878897,0.09763848878719791,60.41847106302982
10D,NHS Swale CCG,69051.0,0.009587116768765115,0.43855947053626987,797.492728022145
10E,NHS Thanet CCG,111096.0,0.0011791603658097502,0.05398484193850363,-33.961109652361415
10G,NHS Bracknell and Ascot CCG,105928.0,0.001840873045842459,0.07851672834378065,19.077051422992238
