month,total_spend
Jan,6.108917460999989E7
Feb,5.602130395999992E7
Mar,6.046502406999989E7
Apr,5.781196254999992E7
May,6.412521643999988E7
Jun,5.9704432389999904E7
Jul,6.12245593399999E7
Aug,6.2820190249999896E7
Sep,5.9314269289999895E7
Oct,6.133498119999982E7
Nov,6.1380000609999835E7
Dec,6.222318835999988E7
