ccg_code,year,month,registered_patients,diabetes_patients,total_spend,per_capita_spend
05D,2012,Jan,106340.0,6137.0,126310.46999999999,20.581794036174024
05F,2012,Jan,149031.0,8594.0,155107.33999999994,18.048329066790778
05G,2012,Jan,166227.0,10840.0,184964.03999999992,17.063103321033203
05H,2012,Jan,147421.0,8935.0,218452.11000000002,24.449033016228316
05J,2012,Jan,135026.0,6962.0,151789.87999999998,21.802625682275206
05L,2012,Jan,401830.0,30242.0,697967.3500000006,23.079404470603816
05N,2012,Jan,243102.0,13064.0,258118.07,19.757966166564607
05P,2012,Jan,186319.0,10750.0,200901.8,18.68853953488372
05Q,2012,Jan,168479.0,9473.0,190348.47999999995,20.0937907737781
05R,2012,Jan,221203.0,10292.0,194625.62000000005,18.910378935095224
05T,2012,Jan,234038.0,13611.0,274187.44999999995,20.144548526926748
05V,2012,Jan,117347.0,6083.0,118038.99999999997,19.404734506000324
05W,2012,Jan,215439.0,14890.0,278989.6300000001,18.736711215580936
05X,2012,Jan,134097.0,7812.0,162759.60000000003,20.83456221198157
05Y,2012,Jan,206247.0,15964.0,266487.39999999997,16.693021799047855
06A,2012,Jan,204901.0,14617.0,289610.73,19.813281111035096
06D,2012,Jan,90218.0,5279.0,120115.68,22.753491191513543
06F,2012,Jan,338882.0,18990.0,337702.43999999994,17.783172195892572
06H,2012,Jan,675672.0,34771.0,620388.5800000002,17.842126484714278
06K,2012,Jan,444661.0,22263.0,402106.8599999997,18.061665543727248
06L,2012,Jan,310118.0,15868.0,278342.91000000003,17.54114633224099
06M,2012,Jan,189366.0,11777.0,206245.08999999997,17.512532054003564
06N,2012,Jan,466617.0,21206.0,360658.48000000004,17.007379043666887
06P,2012,Jan,156631.0,10478.0,210490.99000000002,20.0888518801298
06Q,2012,Jan,301985.0,15807.0,291711.2300000001,18.454560005061055
06T,2012,Jan,263332.0,15400.0,300994.5700000001,19.545101948051958
06V,2012,Jan,139856.0,8236.0,146844.0,17.82952889752307
06W,2012,Jan,167174.0,7296.0,141880.36,19.446321271929822
06Y,2012,Jan,176910.0,9468.0,181354.60000000003,19.15447824250106
07G,2012,Jan,124246.0,7144.0,149927.28,20.986461366181413
07H,2012,Jan,229117.0,12391.0,218905.09000000008,17.666458720038744
07J,2012,Jan,134276.0,9583.0,201764.74,21.05444432849838
